rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
129,ElasticNet,A,random,holdout,grouped_scaling,41.58505981488514,41.59332994811307,0.6568131132369371,28.90702383827182,"HO (n_test=2, optimistic); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
130,ElasticNet,A,grid,holdout,grouped_scaling,41.58505981488514,41.59332994811307,0.6568131132369371,28.90702383827182,"HO (n_test=2, optimistic); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
131,Lasso,A,random,holdout,grouped_scaling,42.60128532532654,44.08313570825624,0.6144965574543668,32.563178857339395,"HO (n_test=2, optimistic); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
132,Lasso,A,grid,holdout,grouped_scaling,42.60128532532654,44.08313570825624,0.6144965574543668,32.563178857339395,"HO (n_test=2, optimistic); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
133,MLP,A,none,holdout,feature_scaling,48.457282181543064,64.69427776015014,0.1697382315200442,45.47193943830022,"HO (n_test=2, optimistic); aug:feature_scaling",A_ST_feature_scaling
134,MLP,A,none,holdout,feature_scaling,48.457282181543064,64.69427776015014,0.1697382315200442,45.47193943830022,"HO (n_test=2, optimistic); aug:feature_scaling",A_CT_random_feature_scaling
135,MLP,A,none,holdout,feature_scaling,48.457282181543064,64.69427776015014,0.1697382315200442,45.47193943830022,"HO (n_test=2, optimistic); aug:feature_scaling",A_CT_grid_feature_scaling
136,RandomForest,N,none,holdout,none,56.09108333333336,56.09450335383933,0.37579978049714513,38.50156495607954,"HO (n_test=2, optimistic)",N_ST
137,MLP,A,none,holdout,grouped_scaling,56.87442770559133,72.18591348102959,-0.03368500398545726,51.72317204275164,"HO (n_test=2, optimistic); aug:grouped_scaling",A_ST_grouped_scaling
138,MLP,A,none,holdout,grouped_scaling,56.87442770559133,72.18591348102959,-0.03368500398545726,51.72317204275164,"HO (n_test=2, optimistic); aug:grouped_scaling",A_CT_random_grouped_scaling
139,MLP,A,none,holdout,grouped_scaling,56.87442770559133,72.18591348102959,-0.03368500398545726,51.72317204275164,"HO (n_test=2, optimistic); aug:grouped_scaling",A_CT_grid_grouped_scaling
140,RandomForest,N,random,holdout,none,58.72500000000001,59.06463620475454,0.30794857171196166,38.712403407965134,"HO (n_test=2, optimistic); tuning:random",N_CT_random
141,RandomForest,N,grid,holdout,none,58.72500000000001,59.06463620475454,0.30794857171196166,38.712403407965134,"HO (n_test=2, optimistic); tuning:grid",N_CT_grid
142,XGBoost,A,none,holdout,feature_scaling,58.73772430419922,75.58419121967887,-0.13330092488255896,53.88465559362113,"HO (n_test=2, optimistic); aug:feature_scaling",A_ST_feature_scaling
143,XGBoost,N,grid,holdout,none,59.732078552246094,60.65341135406934,0.27021695915771715,38.22324698009608,"HO (n_test=2, optimistic); tuning:grid",N_CT_grid
144,RandomForest,A,none,holdout,grouped_scaling,60.73594345238094,60.891436581695004,0.26447787165590475,43.102121144574326,"HO (n_test=2, optimistic); aug:grouped_scaling",A_ST_grouped_scaling
145,RandomForest,A,grid,holdout,grouped_scaling,61.66535714285712,62.01326620949251,0.23712652529867395,44.36499617877662,"HO (n_test=2, optimistic); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
146,RandomForest,A,random,holdout,grouped_scaling,61.66535714285713,62.01326620949252,0.2371265252986735,44.364996178776636,"HO (n_test=2, optimistic); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
147,XGBoost,N,random,holdout,none,61.76654052734375,63.28250694804593,0.20557911413817076,38.71534873217149,"HO (n_test=2, optimistic); tuning:random",N_CT_random
148,RandomForest,A,none,holdout,feature_scaling,62.609485119047605,62.83834708158213,0.21669155644804972,44.67795579882438,"HO (n_test=2, optimistic); aug:feature_scaling",A_ST_feature_scaling
149,XGBoost,A,grid,holdout,feature_scaling,63.087371826171875,63.45321174691483,0.20128742689966073,41.5855873611296,"HO (n_test=2, optimistic); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
150,RandomForest,A,random,holdout,feature_scaling,63.90701190476189,64.17785013167776,0.18294059759490366,45.722207582061934,"HO (n_test=2, optimistic); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
151,RandomForest,A,grid,holdout,feature_scaling,63.907011904761916,64.17785013167779,0.182940597594903,45.722207582061955,"HO (n_test=2, optimistic); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
152,RandomForest,A,random,holdout,feature_noise,64.0462565351315,64.13718642289633,0.18397566311339864,45.121640029444144,"HO (n_test=2, optimistic); aug:feature_noise; tuning:random",A_CT_random_feature_noise
153,RandomForest,A,grid,holdout,feature_noise,64.04625653513152,64.13718642289635,0.1839756631133983,45.12164002944415,"HO (n_test=2, optimistic); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
